Enero	23.4	10.2	0.2	0	2.2	0	0	10	0	0	0	0.8	1.6	0	0	0	0	0	0	0.1	0.9	0	0	0	0	0	0	0	23.4	0	0
Febrero	0	0	0.2	2.4	1.4	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0.2	0.4	25.4	31.5	63.5	0.1	0			
Marzo	0	0	0	0	0.8	5	0	0	6.6	0.1	3.5	0	0	1.4	0	0.9	12.9	0.4	0	3	0.2	0.1	0.1	0	0	0	0	0	0	0	0
Abril	0	0	0	0	0	0	0	0	0	0	4	0.6	13.2	0	7.5	2.6	0	0.1	0	0	22.6	8.2	5.7	0	0	0	1.6	0	1.13	0.13	
Mayo	17.47	1.67	1.87	24.87	7.4	0.27	0	0	0	0.27	6.2	0.07	0.6	4.73	12.87	0	9.33	19.47	0.8	0.33	4.13	0	2.33	0	0	0.07	0.13	0	0.13	8.6	6.27
Junio	0.6	0	4.27	17.8	0.07	0.07	0	0	0.67	0	0	0	1.27	0.33	4.13	2.8	0.13	20	11.67	1.67	6.13	1.07	5.13	6.6	0	4.53	0	0.4	1.2	0.53	
Julio	10.07	0.07	7.2	0.1	0	18.3	7.6	0	5.7	0	0	10.6	0.6	0.1	0	0	0	4.4	4.4	3.5	0	0	1.5	1.1	20.6	0	13.07	1	0	0	0
Agosto	0	12.75	3.5	0.05	1.05	1.7	0.2	0	27.8	3.13	0	0	0.07	2.73	1.27	0.33	29.8	7.67	3.87	15.4	0	0	2.27	0.2	1.07	0	1.27	5.6	1.13	2.27	3.2
Septiembre	4.73	0	6.87	3.4	0	0.6	7.87	7.47	15.53	6.07	2.47	4.87	2.6	0.87	2.27	7.6	0.33	0	26.5	19.47	0	1.13	6.47	0	11	0	0	0	0.13	0.73	
Octubre	0	0.6	0.53	0.53	6.53	0.07	1	2.33	0	6.73	1.87	0	1.87	0.07	0	1.07	0.67	17.8	1.13	5.13	8.6	2.2	0	1.27	0	3.1	4.4	0.07	6.8	0	5.13
Noviembre	2.87	4.67	0.07	0.67	11.73	0	0	6.05	0	19.45	11.75	9	4.2	1.65	2.7	8.8	0.95	18.6	1.2	7.7	17.55	0.2	0.05	0	0	0.15	0	0.25	8.85	2.85	
Diciembre	4.15	7.45	10.13	15.05	0.27	39.75	13.6	0	0	0	0	0	0.13	5.6	25.6	1.8	1.8	2.8	0.2	3.13	3.53	3.93	0	0	0	0	0	0.13	0.1	1.35	0
Enero	0.27	0	0	13.4	3.47	0	0.67	0	0.07	1.27	0.07	0	0.07	0	0.6	0.4	1.33	0.67	0	1.4	0.27	0	0.07	0.07	0	0	4.47	0.53	0	0.13	0
Febrero	0	0	0.2	0.33	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	4.6	2.4	11.55	1.85	0			
